CourseID,CourseName
ECO314,Seminar on ECO
CHEM358,Introduction to CHEM
EE210,Applied EE
CS170,Foundations of CS
MATH159,Special Topics in MATH
ECO461,Applied ECO
CS328,Advanced CS
MECH148,Introduction to MECH
PHY197,Foundations of PHY
PHY210,Applied PHY
EE111,Foundations of EE
CIVIL262,Principles of CIVIL
CHEM371,Seminar on CHEM
CS367,Foundations of CS
ECO149,Principles of ECO
BIO153,Foundations of BIO
BIO307,Seminar on BIO
EE323,Applied EE
PHY369,Foundations of PHY
MECH217,Seminar on MECH
ECO196,Advanced ECO
BIO201,Introduction to BIO
MECH209,Seminar on MECH
BIO132,Special Topics in BIO
ECO218,Foundations of ECO
MECH273,Principles of MECH
HUM406,Advanced HUM
MATH253,Introduction to MATH
PHY386,Principles of PHY
CHEM444,Seminar on CHEM
CIVIL235,Advanced CIVIL
EE393,Special Topics in EE
PHY299,Applied PHY
MECH457,Principles of MECH
BIO487,Applied BIO
MECH495,Advanced MECH
CHEM287,Seminar on CHEM
PHY101,Introduction to PHY
MECH238,Principles of MECH
EE158,Special Topics in EE
BIO291,Seminar on BIO
ECO269,Seminar on ECO
HUM284,Seminar on HUM
HUM146,Introduction to HUM
CS438,Special Topics in CS
ECO280,Advanced ECO
MATH226,Principles of MATH
ECO290,Principles of ECO
CS245,Principles of CS
ECO408,Advanced ECO
ECO320,Special Topics in ECO
CIVIL142,Seminar on CIVIL
HUM246,Introduction to HUM
EE411,Principles of EE
MECH205,Advanced MECH
CS450,Special Topics in CS
CS298,Advanced CS
HUM397,Special Topics in HUM
BIO125,Advanced BIO
CHEM219,Foundations of CHEM
MATH413,Seminar on MATH
MECH187,Seminar on MECH
CIVIL350,Seminar on CIVIL
HUM120,Principles of HUM
HUM350,Foundations of HUM
CIVIL109,Seminar on CIVIL
PHY314,Advanced PHY
MATH216,Advanced MATH
CIVIL139,Seminar on CIVIL
BIO222,Special Topics in BIO
CHEM151,Special Topics in CHEM
MECH194,Introduction to MECH
PHY430,Principles of PHY
CS165,Applied CS
CS302,Principles of CS
PHY355,Advanced PHY
BIO262,Principles of BIO
CHEM433,Advanced CHEM
MATH314,Foundations of MATH
CIVIL472,Applied CIVIL
EE461,Principles of EE
MATH112,Special Topics in MATH
BIO274,Principles of BIO
CHEM265,Introduction to CHEM
MATH446,Seminar on MATH
MECH261,Seminar on MECH
CS162,Introduction to CS
CIVIL236,Advanced CIVIL
ECO264,Special Topics in ECO
HUM335,Special Topics in HUM
BIO301,Seminar on BIO
CIVIL196,Advanced CIVIL
CIVIL338,Applied CIVIL
EE175,Foundations of EE
CIVIL408,Foundations of CIVIL
ECO242,Applied ECO
PHY496,Applied PHY
MECH453,Special Topics in MECH
CHEM422,Advanced CHEM
HUM114,Applied HUM
PHY441,Special Topics in PHY
ECO309,Introduction to ECO
ECO236,Advanced ECO
EE308,Special Topics in EE
CHEM119,Seminar on CHEM
CHEM282,Seminar on CHEM
BIO254,Special Topics in BIO
HUM181,Advanced HUM
MECH104,Advanced MECH
MATH489,Seminar on MATH
MATH418,Seminar on MATH
CHEM490,Advanced CHEM
HUM445,Introduction to HUM
PHY465,Foundations of PHY
BIO187,Applied BIO
MECH405,Introduction to MECH
MECH203,Advanced MECH
ECO407,Advanced ECO
MATH157,Special Topics in MATH
CS196,Introduction to CS
CS387,Advanced CS
CIVIL364,Advanced CIVIL
PHY499,Principles of PHY
ECO340,Special Topics in ECO
HUM270,Applied HUM
EE146,Applied EE
ECO160,Applied ECO
BIO347,Applied BIO
CHEM102,Introduction to CHEM
CIVIL461,Principles of CIVIL
MATH110,Special Topics in MATH
MATH352,Foundations of MATH
CHEM257,Principles of CHEM
MATH472,Principles of MATH
CHEM231,Introduction to CHEM
BIO349,Special Topics in BIO
CIVIL186,Special Topics in CIVIL
BIO277,Applied BIO
MATH122,Introduction to MATH
MECH468,Advanced MECH
CS395,Applied CS
ECO183,Special Topics in ECO
PHY163,Advanced PHY
MATH272,Applied MATH
HUM248,Foundations of HUM
EE471,Foundations of EE
MECH368,Special Topics in MECH
MATH479,Foundations of MATH
MECH348,Introduction to MECH
MECH458,Advanced MECH
