StudentID,CourseID
STU100001,MATH226
STU100001,CHEM287
STU100001,EE210
STU100001,CS302
STU100001,BIO132
STU100002,ECO340
STU100002,HUM146
STU100002,MATH446
STU100002,PHY197
STU100002,MECH495
STU100002,ECO314
STU100003,BIO487
STU100003,CHEM231
STU100003,BIO291
STU100003,CS245
STU100004,MATH418
STU100004,EE111
STU100004,ECO340
STU100005,MATH472
STU100005,MATH122
STU100005,MECH194
STU100006,BIO347
STU100006,CHEM265
STU100006,MATH159
STU100006,CHEM422
STU100006,MECH348
STU100007,HUM246
STU100007,MATH479
STU100007,CS298
STU100007,CIVIL196
STU100008,CIVIL235
STU100008,MECH238
STU100008,BIO222
STU100008,CS395
STU100008,CS450
STU100008,MECH453
STU100009,BIO349
STU100009,CS438
STU100009,BIO187
STU100009,ECO196
STU100009,HUM146
STU100009,MECH453
STU100010,CS245
STU100010,MECH205
STU100010,EE146
STU100010,CHEM444
STU100011,PHY163
STU100011,BIO291
STU100011,CS165
STU100011,EE146
STU100011,PHY465
STU100011,EE393
STU100012,MECH203
STU100012,ECO242
STU100012,CS245
STU100013,PHY441
STU100013,MATH472
STU100013,EE323
STU100014,ECO196
STU100014,ECO340
STU100014,CS387
STU100015,HUM406
STU100015,BIO301
STU100015,ECO196
STU100015,BIO132
STU100016,ECO264
STU100016,BIO487
STU100016,CHEM287
STU100016,EE146
STU100016,MECH209
STU100016,HUM146
STU100017,CIVIL236
STU100017,EE323
STU100017,CHEM219
STU100017,PHY210
STU100018,MATH112
STU100018,MECH209
STU100018,HUM445
STU100019,BIO187
STU100019,BIO153
STU100019,CHEM257
STU100019,CIVIL186
STU100019,MATH272
STU100020,BIO222
STU100020,ECO340
STU100020,CS450
STU100020,CHEM282
STU100020,MATH314
STU100021,PHY210
STU100021,HUM181
STU100021,CHEM422
STU100021,CHEM490
STU100021,BIO132
STU100022,BIO349
STU100022,EE393
STU100022,PHY369
STU100023,MECH468
STU100023,ECO242
STU100023,BIO347
STU100023,PHY386
STU100024,MATH112
STU100024,MECH368
STU100024,EE461
STU100025,MECH205
